Perspectiva,Ano,Mes,Competencia,Admissoes,Demissoes,Saldo,Estoque,Salario_Medio
Natal,2024,1,202401,27.0,2.0,25.0,25.0,2130.09
Natal,2024,2,202402,6.0,0.0,6.0,31.0,1936.83
Natal,2024,3,202403,5.0,0.0,5.0,36.0,2229.6
Natal,2024,4,202404,3.0,3.0,0.0,36.0,1825.62
Natal,2024,5,202405,3.0,3.0,0.0,36.0,3509.33
Natal,2024,6,202406,1.0,0.0,1.0,37.0,1743.77
Natal,2024,7,202407,9.0,1.0,8.0,45.0,1847.22
Natal,2024,8,202408,12.0,2.0,10.0,55.0,4340.39
Natal,2024,9,202409,7.0,0.0,7.0,62.0,4947.4
Natal,2024,10,202410,2.0,1.0,1.0,63.0,1720.0
Natal,2024,11,202411,5.0,0.0,5.0,68.0,4001.34
Natal,2024,12,202412,4.0,1.0,3.0,71.0,1804.5
Natal,2025,1,202501,10.0,0.0,10.0,81.0,3130.89
Natal,2025,2,202502,4.0,0.0,4.0,85.0,2836.79
Natal,2025,3,202503,4.0,0.0,4.0,89.0,3209.5
Natal,2025,4,202504,14.0,1.0,13.0,102.0,3608.48
Natal,2025,5,202505,2.0,0.0,2.0,104.0,2860.0
Natal,2025,6,202506,13.0,1.0,12.0,116.0,3188.02
Natal,2025,7,202507,3.0,1.0,2.0,118.0,1752.0
Natal,2025,8,202508,6.0,0.0,6.0,124.0,9040.83
Natal,2025,9,202509,0.0,0.0,0.0,124.0,
RN,2024,1,202401,7.0,1.0,6.0,6.0,2748.38
RN,2024,2,202402,1.0,0.0,1.0,7.0,1623.14
RN,2024,3,202403,3.0,0.0,3.0,10.0,2383.33
RN,2024,4,202404,1.0,1.0,0.0,10.0,1653.85
RN,2024,5,202405,1.0,0.0,1.0,11.0,1550.0
RN,2024,6,202406,3.0,0.0,3.0,14.0,2133.33
RN,2024,7,202407,1.0,0.0,1.0,15.0,1450.0
RN,2024,8,202408,3.0,1.0,2.0,17.0,1639.24
RN,2024,9,202409,2.0,0.0,2.0,19.0,1268.86
RN,2024,10,202410,0.0,0.0,0.0,19.0,
RN,2024,11,202411,1.0,0.0,1.0,20.0,2949.7
RN,2024,12,202412,2.0,0.0,2.0,22.0,1419.0
RN,2025,1,202501,5.0,0.0,5.0,27.0,2426.98
RN,2025,2,202502,6.0,0.0,6.0,33.0,1787.84
RN,2025,3,202503,4.0,0.0,4.0,37.0,1909.5
RN,2025,4,202504,4.0,0.0,4.0,41.0,1799.54
RN,2025,5,202505,4.0,0.0,4.0,45.0,1941.22
RN,2025,6,202506,10.0,1.0,9.0,54.0,3423.25
RN,2025,7,202507,1.0,0.0,1.0,55.0,1518.0
RN,2025,8,202508,0.0,0.0,0.0,55.0,
RN,2025,9,202509,0.0,0.0,0.0,55.0,
Nordeste,2024,1,202401,92.0,13.0,79.0,79.0,2247.24
Nordeste,2024,2,202402,43.0,7.0,36.0,115.0,11463.79
Nordeste,2024,3,202403,105.0,10.0,95.0,210.0,5945.71
Nordeste,2024,4,202404,71.0,12.0,59.0,269.0,7380.02
Nordeste,2024,5,202405,35.0,7.0,28.0,297.0,2297.02
Nordeste,2024,6,202406,28.0,8.0,20.0,317.0,1860.45
Nordeste,2024,7,202407,40.0,8.0,32.0,349.0,2667.14
Nordeste,2024,8,202408,103.0,2.0,101.0,450.0,5247.59
Nordeste,2024,9,202409,51.0,3.0,48.0,498.0,2210.12
Nordeste,2024,10,202410,40.0,12.0,28.0,526.0,3171.77
Nordeste,2024,11,202411,55.0,3.0,52.0,578.0,2237.58
Nordeste,2024,12,202412,61.0,5.0,56.0,634.0,5931.02
Nordeste,2025,1,202501,81.0,4.0,77.0,711.0,2186.11
Nordeste,2025,2,202502,53.0,13.0,40.0,751.0,2572.02
Nordeste,2025,3,202503,33.0,6.0,27.0,778.0,3294.2
Nordeste,2025,4,202504,105.0,10.0,95.0,873.0,2354.33
Nordeste,2025,5,202505,41.0,7.0,34.0,907.0,2821.18
Nordeste,2025,6,202506,83.0,3.0,80.0,987.0,2677.31
Nordeste,2025,7,202507,22.0,2.0,20.0,1007.0,2764.78
Nordeste,2025,8,202508,39.0,0.0,39.0,1046.0,3242.35
Nordeste,2025,9,202509,0.0,0.0,0.0,1046.0,
Brasil,2024,1,202401,691.0,90.0,601.0,601.0,3379.4
Brasil,2024,2,202402,294.0,87.0,207.0,808.0,6097.59
Brasil,2024,3,202403,341.0,50.0,291.0,1099.0,3979.84
Brasil,2024,4,202404,440.0,55.0,385.0,1484.0,4678.52
Brasil,2024,5,202405,315.0,52.0,263.0,1747.0,3074.29
Brasil,2024,6,202406,334.0,57.0,277.0,2024.0,4145.13
Brasil,2024,7,202407,589.0,81.0,508.0,2532.0,2495.9
Brasil,2024,8,202408,393.0,50.0,343.0,2875.0,3434.5
Brasil,2024,9,202409,551.0,117.0,434.0,3309.0,2665.78
Brasil,2024,10,202410,1409.0,48.0,1361.0,4670.0,1778.35
Brasil,2024,11,202411,278.0,43.0,235.0,4905.0,2944.24
Brasil,2024,12,202412,253.0,45.0,208.0,5113.0,4102.52
Brasil,2025,1,202501,491.0,50.0,441.0,5554.0,3563.58
Brasil,2025,2,202502,391.0,41.0,350.0,5904.0,2554.88
Brasil,2025,3,202503,238.0,28.0,210.0,6114.0,4028.79
Brasil,2025,4,202504,753.0,55.0,698.0,6812.0,3133.99
Brasil,2025,5,202505,230.0,30.0,200.0,7012.0,3255.52
Brasil,2025,6,202506,402.0,19.0,383.0,7395.0,3539.83
Brasil,2025,7,202507,151.0,15.0,136.0,7531.0,5579.56
Brasil,2025,8,202508,191.0,18.0,173.0,7704.0,3526.99
Brasil,2025,9,202509,0.0,0.0,0.0,7704.0,
